,100-1- -a,245-1-0-a,245-1-0-b,260- - -c,653- - -a,lang,year,245-1-3-a,245-1-3-b
2008020501046,"Øverås, Tor Eystein",Til :,en litterær reise,2005,"litteratur, norden, reiser, østersjølandene",nob,2005,,
2008020501049,"Ragde, Anne Birkefeldt",,,2005,,nob,2005,En kald dag i helvete,
2008111100112,"Ra, Pernille",,,cop. 2007,,nob,2007,,
2008120100079,"Schjerven, Torgeir",,,2006,"dikt, lyrikk, norsk, poesi",nob,2006,,
2009011500010,"Carmona-Alvarez, Pedro",Clown town ; Prinsens gate,,2005,,nob,2005,,
2009042204054,"Schreiner, Per",Tilbake til Tuengen allé :,radiodrama,2006,"2000-tallet, drama, hørespill, norske, skuespill",nob,2006,,
2009050800038,"Jensen, Ingelill Kruse",Ondskapens hjerte,,2008,,nob,2008,,
2009060400034,"Ingulstad, Frid",Høkeren,,2007,,nob,2007,,
2009060400047,"Ingulstad, Frid",Medmenneske,,2006,,nob,2006,,
2009060400049,"Kristiansen, Else Berit",Hemmeligheter,,2007,,nob,2007,,
2009060400050,"Kristiansen, Else Berit",Venn eller fiende?,,2007,,nob,2007,,
2009060504011,"Kristiansen, Else Berit",Ingen vei tilbake,,2008,,nob,2008,,
2009060504012,"Ingulstad, Frid",Ved din side,,2007,,nob,2007,,
2009060504031,"Ingulstad, Frid",Mor Hjertegod,,2007,,nob,2007,,
2009060904019,"Angell-Jacobsen, Rune",Farlig møte,,2005,,nob,2005,,
2009060904022,"Thorup, Torill",Tause vitner,,cop. 2007,,nob,2007,,
2009060904023,"Kyvik, Salmund",Uønsket ekteskap,,cop. 2007,,nob,2007,,
2009060904024,"Kyvik, Salmund",Farlige følelser,,cop. 2007,,nob,2007,,
2009060904026,"Ulvseth, Laila",Lengselens makt,,2006,,nob,2006,,
2009060904036,"Thorup, Torill",Livslenker,,cop. 2007,,nob,2007,,
2009061500007,"Rafaelsen, Ellinor",Gylne løfter,,2006,,nob,2006,,
2009061500021,"Persson, Leif G.W.",Linda - som i Lindadrapet,,2008,,nob,2008,,
2009061500024,"Kristiansen, Else Berit",Innhentet av fortiden,,2008,,nob,2008,,
2009061500040,"Kristiansen, Else Berit",Skjebneår,,2007,,nob,2007,,
2009061500043,"Johansen, Elin Brend",Natteflukt,,2006,,nob,2006,,
2009061500046,"Ingulstad, Frid",Gjengangere,,2006,,nob,2006,,
2009061500050,"Brenden, Laila",Brytningstid,,2006,,nob,2006,,
2009061500056,"Strøm, Hans Henrik",,,cop. 2006,,nob,2006,,
2009061500079,"Kristiansen, Else Berit",Blind tro,,2008,,nob,2008,,
2009061500080,"Lien, Merete",Flukt,,2007,,nob,2007,,
2009061500082,"Lien, Merete",Mannen fra skyggene,,2007,,nob,2007,,
2009061500084,"Mysen, Jane",Sølvharpen,,2005,,nob,2005,,
2009061501003,"Ingulstad, Frid",Gjøkungen,,2007,,nob,2007,,
2009061501009,"Angelsen, Trine",Hevnens engel,,2005,,nob,2005,,
2009061501011,"Brenden, Laila",Hjemkomsten,,2006,,nob,2006,,
2009061501012,"Kyvik, Salmund",Brannen,,cop. 2007,,nob,2007,,
2009061501015,"Steinslett, Kjellaug",Bare en mann,,2006,,nob,2006,,
2009061501034,"Kjus, Trine",Etter festen,,2007,,nob,2007,,
2009061501048,"Rafaelsen, Ellinor",Pelsjegeren,,cop. 2006,,nob,2006,,
2009061501051,"Steinslett, Kjellaug",,,2006,,nob,2006,En utro tjener,
2009061501060,"Borg, Saga",Volvens datter,,2005,,nob,2005,,
2009061600070,"Skattvik, Camilla J.J.",,,cop. 2007,,nob,2007,,
2009061600072,"Mysen, Jane",Gjestebud,,2007,,nob,2007,,
2009061600073,"Bertling, Berit",Sort diamant,,cop. 2005,,nob,2005,,
2009061600076,"Skattvik, Camilla J.J.","Tyven, tyven",,cop. 2007,,nob,2007,,
2009061600077,"Eriksen, Synnøve",Savnets by,,2007,,nob,2007,,
2009061600078,"Skattvik, Camilla J.J.",Identitet ukjent,,cop. 2007,,nob,2007,,
2009061604042,"Angelsen, Trine",Spådommen,,2005,,nob,2005,,
2009061701003,"Steinslett, Kjellaug",Inn i varmen,,2007,,nob,2007,,
2009061701004,"Steinslett, Kjellaug",Hevnen er søt,,2007,,nob,2007,,
2009061701011,"Steinslett, Kjellaug",På ville veier,,2005,,nob,2005,,
2009061701013,"Mysen, Jane",Vinterbarn,,2007,,nob,2007,,
2009061701060,"Ustad, Willy",Elvis Olsens åpenbaring,,2007,,nob,2007,,
2009061704002,"Skattvik, Camilla J.J.",Bill.mrk.,,cop. 2007,,nob,2007,,
2009061704003,"Eriksen, Synnøve",Vinterby,,2007,,nob,2007,,
2009061704016,"Indregard, Kjetil",Fotballkampen,,2005,"barnebøker, fotball",nob,2005,,
2009061704053,"Toverud, Hege Løvstad",Rivaler,,cop. 2007,,nob,2007,,
2009061800003,"Johansen, Elin Brend",Skjebnevalg,,2006,,nob,2006,,
2009061800005,"Brenden, Laila",Mellomspill,,2006,,nob,2006,,
2009061800006,"Kyvik, Salmund",Opprøret,,cop. 2007,,nob,2007,,
2009061800057,"Brenden, Laila",Forføreren,,cop. 2006,,nob,2006,,
2009061800068,"Gjersøe, Ann-Christin",Skjebnevinder,,2006,,nob,2006,,
2009061900021,"Angelsen, Trine",Hvite løgner,,2005,,nob,2005,,
2009061900024,"Angelsen, Trine",Jaget,,2005,,nob,2005,,
2009061900026,"Gjersøe, Ann-Christin",Jegerdans,,2006,,nob,2006,,
2009062200041,"Rafaelsen, Ellinor",Gjøkungen,,cop. 2005,,nob,2005,,
2009062200052,"Rafaelsen, Ellinor",Farlig seilas,,cop. 2005,,nob,2005,,
2009062200054,"Angell-Jacobsen, Rune",Frihetens pris,,2005,,nob,2005,,
2009062200055,"Thorup, Torill",Odelsdatteren,,2007,,nob,2007,,
2009062300021,"Lunde, Inger-Margrethe",Gi meg navnet mitt tilbake :,"om Laura Kieler, Nora og Ibsen : skuespill i tre scener",2006,"norsk, skjønnlitteratur, skodespel",nob,2006,,
2009062300024,"Angelsen, Trine",Farlig spill,,2006,,nob,2006,,
2009062300047,"Steinslett, Kjellaug",Rose blant tistler,,2006,,nob,2006,,
2009062300100,"Steinslett, Kjellaug",Aldri for sent,,2005,,nob,2005,,
2009062300103,"Thorup, Torill",Skjulte spor,,cop. 2007,,nob,2007,,
2009062300104,"Steinslett, Kjellaug",Stemmer i natten,,2005,,nob,2005,,
2009062300110,"Angelsen, Trine",Valgets kvaler,,2007,,nob,2007,,
2009062301059,"Aasprong, Monica",Soldatmarkedet :,dikt,2006,"2000-tallet, dikt, lyrikk, norsk",nob,2006,,
2009062304068,"Toverud, Hege Løvstad",Kvikksand,,cop. 2007,,nob,2007,,
2009062304070,"Söderholm, Margit",Arven fra Hellesta,,2006,,nob,2006,,
2009062304071,"Ingulstad, Frid",Jernbyrden,,2006,,nob,2006,,
2009062304073,"Angelsen, Trine",Fortielsens pris,,2005,,nob,2005,,
2009062400005,"Ustad, Willy",Sannhetens pris,,cop. 2005,,nob,2005,,
2009070300002,"Kristiansen, Else Berit",Lys i mørket,,2007,,nob,2007,,
2009070600085,"Dybvig, Ingeborg",Mareritt i Venezia,,2007,,nob,2007,,
2009070601082,"Angelsen, Trine",Flukt,,2007,,nob,2007,,
2009070601084,"Mathisen, Kamilla",Bak masken,,2008,,nob,2008,,
2009072900104,"Ingvaldsen, Bjørn",Jeg er super! :,Espen Herberts opptegnelser V,2006,"barnebøker, humor",nob,2006,,
2009072900105,"Klepp, Anneli",Lusne forviklinger,,2006,"barn, familien, humor, omsorgssvikt",nob,2006,,
2009072900128,"Nilsen, Ole-Mikal",Hvite hemmeligheter,,2005 [utsendt 2006],"barnebøker, familien, spenningslitteratur",nob,2005,,
2009081804065,"Kjus, Trine",Besettelse,,2007,,nob,2007,,
2009092504053,"Eidsfeldt, Anne",Norges kongesagaer fra middelalderen til i dag :,en bokhistorisk utstilling,2005,,nob,2005,,
2009093000103,"Rafaelsen, Ellinor",Portrettet,,cop. 2005,,nob,2005,,
2009093004018,"Ullmann, Linn",,,2005,"2000-tallet, barn, far, norsk, norske, prosa, romaner, skjønnlitteratur",nob,2005,Et velsignet barn :,roman
2009093004052,"Jungstedt, Mari",I den stille natt,,2005,,nob,2005,,
2009093004062,"Vonheim, Inger",Dette med Andreas :,roman,cop. 2006,"funksjonshemmede, kjærester, kjærlighet, lettlest, psykisk, selvbeskadigelse, selvskading, skjønnlitteratur",nob,2006,,
2009102100004,"Ottesen, Josefine",Sagaen om Sigurd,,2009,,nob,2009,,
2009102100005,"Ottesen, Josefine",Sagaen om Sigurd,,2009,,nob,2009,,
2009102104057,"Rishøi, Ingvild H.",La stå :,noveller,2007,"2000-tallet, barn, noveller, novellesamling, skjønnlitteratur",nob,2007,,
2009120200033,"Normann, Regine",Krabvaag :,skildringer fra et lidet fiskevær,2005,"lokalsamling, nordland",nob,2005,,
2009120300022,"Undset, Sigrid",Fru Marta Oulie,,2007,"litteratur, norsk",nob,2007,,
2010010703005,"Bjørnson, Bjørnstjerne",Synnøve Solbakken,,2007,,nob,2007,,
2010060820006,"Ibsen, Henrik",Brand,,2005,,nob,2005,,
2010081720018,"Ibsen, Henrik",Ibsens beste,,2005,,nob,2005,,
2010082310002,"Ibsen, Henrik",Ord av Ibsen,,2006,sitater,nob,2006,,
2010082422004,"Ferguson, Robert",Henrik Ibsen :,mellom evne og higen,2006,,nob,2006,,
2010083022002,"Ibsen, Henrik",,,2006,,nob,2006,Et dukkehjem og fire andre skuespil,
2011011203002,"Meinderts, Koos",Ballade om døden,,2010,,nob,2010,,
2011011903034,"Hovelsrud, Kjell Reidar",Isbjørnliv,,cop. 2008,"isbjørner, svalbard",nob,2008,,
2011011903038,"Sundman, Per Olof",Ingeniør Andrées luftferd,,2007,"arktis, ballogferder, nordpolen, polarekspedisjoner, polarferder",nob,2007,,
2011012003022,"Kristensen, Monica",Hollendergraven,,2007,"2000-tallet, fiction, krim, norske, romaner, svalbard",nob,2007,,
2011012503001,"Bringsværd, Tor Åge",Karsten og Petras vinterbok,,2010,"advent, billedbøker, ski, skøyter, vinter",nob,2010,,
2011012703014,"Christensen, Lars Saabye",Men Buicken står her fremdeles :,"reviderte servietter, dikt, amerikanske huskelapper, skrøner og fotografier",2010,"amerika, dikt, litteratur, norsk, reiseskildring",nob,2010,,
2011020923002,"Solstad, Dag",17. roman,,2009,"litteratur, norsk",nob,2009,,
2011020923007,"Solstad, Dag",Armand V. :,fotnoter til en uutgravd roman,2006,"2000-tallet, norske, romaner, skjønnlitteratur",nob,2006,,
2011021603045,"Houm, Nicolai",Når alle sover,,2011,"biletbøker, billedbøker, monster, monstre",nob,2011,,
2011022203037,"Krohn, Signy Ørbech",Jenta som fant konkylier :,eventyrbok,2010,,nob,2010,,
2011022503011,"Brochmann, Odd",Nonnene på Jomfruland :,"historien om Jomfruland, om nonnene som bodde der i gamle dager og om fyret på øya",2010,"barn, billedbøker, fyr, fyrstasjoner, gimsøy, jomfruland, kloster, kragerø, nonner",nob,2010,,
2011030220001,"Solstad, Dag",Artikler 1993-2004,,2007,"essay, essayistikk, litteratur, norsk",nob,2007,,
2011030408000,"Enger, Rolf",1949 e.Kr. :,noveller,2005,noveller,nob,2005,,
2011030408036,"Ibsen, Henrik",Ibsen,samlede verker,c2005,,nob,2005,,
2011030708042,"Ibsen, Henrik",Ibsen,samlede verker,c2005,,nob,2005,,
2011030708094,"Berg, Roald J.",17. mai-komiteen :,roman,cop. 2005,,nob,2005,,
2011030708095,"Ibsen, Henrik",Ibsen,samlede verker,c2005,,nob,2005,,
2011030708100,"Sannes, Anne Mette",3 dager ved Alcor,,cop. 2005,,nob,2005,,
2011030708105,"Syverud, Kjetil",39 1/2 :,dikt,cop. 2005,,nob,2005,,
2011030708145,"Fröhlich, Francisca",365 godnatthistorier :,om det hemmelige livet til bamser og dokker,cop. 2005,,nob,2005,,
2011031703020,"Mehren, Stein",Forseglinger,,2006,"litteratur, maleri, malerkunst, norsk, poesi",nob,2006,,
2011031703022,"Sortland, Bjørn",Det hjertet husker,,2009,"barn, barnebøkerforteljingar, kunst, kunstnere, malere, malerkunst, mexico, sorg, søsken",nob,2009,,
2011031820003,"Solstad, Dag",25. september-plassen :,roman,2007,,nob,2007,,
2011032408023,"Strøm, Johan-Arnt",Aksjonistene,,cop. 2005,,nob,2005,,
2011032506149,"Kristiansen, Else Berit",Pusterom,,2010,,nob,2010,,
2011032508067,"Lian, Torun",Adam den tredje i fjerde,,2005,"4.klasse, barnebøker, ensomhet, følelser, mobbing, skilsmisse, skolen",nob,2005,,
2011032508158,"Haagensen, Nils-Øivind",Adressebøkene,,2005,,nob,2005,,
2011032508159,"Berggren, Arne",Advent :,roman,2005,,nob,2005,,
2011032508160,"Haagensen, Nils-Øivind",Adressebøkene,,2005,"dikt, litteratur, lyrikk, norsk",nob,2005,,
2011033003005,"Mehren, Stein","Nye bilder, tidlige dikt",,2005,"lyrikk, maleri, malerkunst, norge, norsk",nob,2005,,
2011033005045,"Andersen, Yvonne",Nattmannen,,2010,,nob,2010,,
2011033005047,"Lien, Merete",Avskjedsbrevet,,2010,,nob,2010,,
2011033005048,"Rafaelsen, Ellinor",På fremmed jord,,2010,,nob,2010,,
2011033005049,"Ingulstad, Frid",Dobbel lykke,,2010,,nob,2010,,
2011033005052,"Lerum, May Grethe",Datter av livet,,2010,,nob,2010,,
2011033005053,"Sandviken, Berit Elisabeth",Der solen aldri går ned,,2010,,nob,2010,,
2011040406171,"Børke, Sissel Margrethe",Anna Tangs historie :,roman,[2010?],,nob,2010,,
2011040508056,"Nygårdshaug, Gert",Alle orkaners mor :,roman,2005,,nob,2005,,
2011040508124,"Nordström, Gunnar",Alene mot Forsberg,,2005,,nob,2005,,
2011040508147,"Ibsen, Henrik",,,2005,"1800-tallet, drama, norske, skuespill",nob,2005,,
2011040508148,"Ibsen, Henrik",,,2005,"1800-tallet, drama, norske, skuespill",nob,2005,,
2011040708077,"Eeg, Harald Rosenløw",Alle duene,,2005,,nob,2005,,
2011040805004,"Børke, Sissel Margrethe",Mannen fra fotografiet :,roman,2009,,nob,2009,,
2011040805018,"Matadora, A.",Som i himmelen så og på jorden,,2010,,nob,2010,,
2011040806087,"Johnsen, Kjetil",Morderen som gråt,,2010,,nob,2010,,
2011040806107,"Mysen, Christine",Mannen fra Østen,,2011,,nob,2011,,
2011040806126,"Johansen, Jorunn",Svarteboka,,2011,,nob,2011,,
2011040806127,"Almendingen, Liv",Veiene møtes,,2011,,nob,2011,,
2011040806128,"Sandemo, Margit",Selv om jeg elsker deg ; Stjernetegnet,,2010,,nob,2010,,
2011040806129,"Ingulstad, Frid",Trusselen,,2011,,nob,2011,,
2011040806130,"Johnsen, Kjetil",,,2011,,nob,2011,En morders ansikt,
2011040806136,"Johansen, Elin Brend",Avmakt og begjær,,cop. 2011,,nob,2011,,
2011040806141,"Flock, Willy",Så skjer det :,prosadikt,2010,,nob,2010,,
2011040806182,"Larssen, Trude Brænne",Heltedåd,,2011,,nob,2011,,
2011040806183,"Angelsen, Trine",Lengsel og håp,,2010,,nob,2010,,
2011040806184,"Sandemo, Margit",Bak portene ; Móri og isfolket,,2010,,nob,2010,,
2011040806187,"Gørbitz, Lene",Jenten med sølvskjeen! :,roman,cop. 2010,,nob,2010,,
2011041105012,"Simonsen, Kate Helen",Redningsmannen,,2011,,nob,2011,,
2011041105014,"Sandemo, Margit",Jomfruen fra Tåkeskogen ; Sindre min sønn,,2010,,nob,2010,,
2011041105019,"Fredheim, Rolf",Reparatøren :,roman,[2010],,nob,2010,,
2011041105030,"Meyer, Anne Marie",Drømmer,,2011,,nob,2011,,
2011041105038,"Havnsund, Elisabeth",Bekjennelser,,2011,,nob,2011,,
2011041105056,"Midtsund, Aud",Fortidens skygge,,2011,,nob,2011,,
2011041105096,"Hagmar, Pia",,,2008,,nob,2008,En grusom plan,
2011041205026,"Lunde, Sigrid",Lebensborn,,2011,,nob,2011,,
2011041305068,"Oftestad, Siri Amalie","De andre sirkler, og jeg en strek",,2005,"dikt, lyrikk",nob,2005,,
2011041305082,"Tronstad, Tyra Teodora",Mandag morgen står de døde i kø,,2007,døden,nob,2007,,
2011042908029,"Tidholm, Anna-Clara",Alle får sitte på,,2005,billedbøker,nob,2005,,
2011050920004,"Solstad, Dag",Armand V. :,fotnoter til en uutgravd roman,2008,,nob,2008,,
2011050920005,"Solstad, Dag",17. roman,,2010,,nob,2010,,
2011051808097,"Soltvedt, Thor",Alexanderplass,,cop. 2006,,nob,2006,,
2011051808099,"Svanes, Tor Even",,,2006,"2000-tallet, norske, romaner",nob,2006,,
2011051808100,"Skjelbred, Margaret",Andrea D :,roman,2006,"1900-tallet, 2000-tallet, jøder, norsk, norske, romanar, romaner, skjønnlitteratur",nob,2006,,
2011051808112,"Pedersen, Bente",Annen manns kvinne ; Sommerlandets skygger,,2006,,nob,2006,,
2011051808121,"Solstad, Dag",Artikler 1993-2004,,2006,"essay, essayistikk, litteratur, norsk",nob,2006,,
2011051820004,"Solstad, Dag",Genanse og verdighet,,2007,,nob,2007,,
2011051920007,"Solstad, Dag",T. Singer :,roman,2006,,nob,2006,,
2011051920008,"Solstad, Dag","Ellevte roman, bok atten :",roman,2005,,nob,2005,,
2011051920009,"Solstad, Dag",Gymnaslærer Pedersens beretning om den store politiske vekkelsen som har hjemsøkt vårt land :,roman,2006,"1980-tallet, norske, romaner",nob,2006,,
2011051920010,"Solstad, Dag",17. roman,,2010,,nob,2010,,
2011051920011,"Solstad, Dag",Forsøk på å beskrive det ugjennomtrengelige :,roman,2007,"drabantbyer, obos, oslo, romsås, skjønlitteratur",nob,2007,,
2011052008004,"Mehlum, Jan",Det annet kinn :,kriminalroman,2006,,nob,2006,,
2011052008011,"Elmer, Martin",Askepotts dagbok :,roman,cop. 2006,,nob,2006,,
2011052008013,"Eklund, Fredrik",Bananfluenes herre,,cop. 2006,,nob,2006,,
2011052008016,"Staalesen, Gunnar",Ansikt til ansikt,,2006,,nob,2006,,
2011052008031,"Thelle, Anne Helene",Bare Maria,,2005,"billedbøker, dagligliv",nob,2005,,
2011052008056,"Skeie, Eyvind",Beltedyr i akebakken,,cop. 2005,"bilbelte, billedbøker, trafikk, trafikkopplæring",nob,2005,,
2011052008057,"Mørck, Sidsel",Bestemor basta,,2005,"barn, barnebøker, besteforeldre, bokstaver, lettlesingsbøker, store, vennskap",nob,2005,,
2011052008075,"Bull-Hansen, B. Andreas",Anubis :,roman,2006,"2000-tallet, dystopier, norske, romaner",nob,2006,,
2011052008079,"Nedreaas, Torborg",Utvalgte verker,,2006,,nob,2006,,
2011052008085,"Lindstrøm, Merethe",Barnejegeren :,roman,2005,"barnevern, rusmisbruk",nob,2005,,
2011052008099,"Arnhus, Ellen",Bestemors nesten sanne historier,,2005,,nob,2005,,
2011052008101,"Mehren, Stein",Anrop fra en mørk stjerne :,dikt 2006,2006,"2000-tallet, norsk, norske, poesi, samtid",nob,2006,,
2011052008105,"Johnsen, Kjetil",Beautiful,,cop. 2005,,nob,2005,,
2011052008106,"Follestad, Hans Frederik",De fire og han som gjør galt verre,,cop. 2005,"fantastisk, humor, litteratur, ungdomsbøker",nob,2005,,
2011052008108,"Bergström, Gunilla",Albert Åberg og soldatpappaen,,cop. 2006,"barnelitteratur, billedbøker, innvandrere, krig, svensk",nob,2006,,
2011052008121,"Ragde, Anne B.",Arsenikktårnet,,2005,,nob,2005,,
2011052008123,"Martinson, Harry",Aniara :,en revy om mennesket i tid og rom,2006,"fantasy, fiction, science",nob,2006,,
2011052008124,"Pedersen, Henry",Kvengutten Karl,,cop. 2005-2007,,nob,2005,,
2011052008133,"Widmark, Martin",Avismysteriet,,2006,,nob,2006,,
2011052008134,"Nedreaas, Torborg",Av måneskinn gror det ingenting,,2006,,nob,2006,,
2011052008137,"Østby, Anne Ch.",Anna+framtid :,søk,2006,"afghanistan, forelskelse, internasjonale, kulturmøter, pakistan, skoler, ungdomsbøker",nob,2006,,
2011052008138,"Lindell, Unni",Anna + Didrik = Baby ; Sugemerket,,2006,,nob,2006,,
2011052008141,"Martinson, Harry",Aniara :,en revy om mennesket i tid og rom,2006,"1950-tallet, litteratur, svensk",nob,2006,,
2011052010001,"Solstad, Dag",Roman 1987 :,roman,2006,,nob,2006,,
2011052308030,"Groth, Vibecke",Advokatene,,2006,kriminalroman,nob,2006,,
2011052308048,"Lindell, Unni",Anna + Didrik = Baby,,2005,"abort, fødsel, gravid, graviditet, kjærlighet, roman, svangerskap, ungdom, ungdomsbøker",nob,2005,,
2011052308051,"Ulstein, Knut-Asbjørn",Alt som ikke er stjålet eller brent :,roman,cop. 2005,"antikken, bybrann, kristne, oldtiden, roma, skjønnlitteratur",nob,2005,,
2011052308109,"Staalesen, Gunnar",Ansikt til ansikt :,kriminalroman,2005,"2000-tallet, kriminalroman, kriminalromaner, norske, romaner, skjønnlitteratur, spenning",nob,2005,,
2011052308125,"Flygt, Torbjörn",Avmakt :,roman,2005,,nob,2005,,
2011052408000,"Askildsen, Kjell",Alt som før,,2005,,nob,2005,,
2011052408011,"Torgersen, Bård",Alt skal vekk,,2005,"norske, romaner",nob,2005,,
2011052408013,"Østby, Anne Ch.",Anna@verden.com,,2005,"barndom, kulturmøte, oppvekst, ungdom",nob,2005,,
2011052408014,"Poppy, Edy",Anatomi. Monotoni :,roman,2005,"norske, romaner",nob,2005,,
2011052608010,"Sandberg, Jørgen",Balansegang :,epistler i utvalg,cop. 2005,,nob,2005,,
2011052608014,"Aurstad, Tore",Benjamin Svartfeldts labyrint,,2005,"spenningslitteratur, ungdomsbøker",nob,2005,,
2011052608025,"Henriksen, Levi",Bare mjuke pakker under treet :,fortellinger,2005,"2000-tallet, norske, noveller",nob,2005,,
2011052608029,"Flink, Jon Øystein",Banjoland :,noveller,2005,"2000-tallet, norske, noveller",nob,2005,,
2011052608030,"Nestor, Grethe",Barbiegenet :,roman,2005,mødrer,nob,2005,,
2011052608031,"Henriksen, Levi",Babylon badlands :,roman,2006,"2000-tallet, norske, reiser, romaner, skjønnlitteratur, usa",nob,2006,,
2011052608047,"Nygaard, Martin",Autopilot :,roman,cop. 2005,,nob,2005,,
2011052608048,"Moro, Gabriel Michael Vosgraff",Autobahn :,roman,2005,,nob,2005,,
2011052608054,"Lie, Lisa Charlotte Baudouin",Armløs slår tilbake :,roman,2005,,nob,2005,,
2011052608105,"Barfoed, Erik",August går i glemmeboka,,2006,,nob,2006,,
2011052608119,"Faldbakken, Knut",Baldemar på ferie,,2006,"barnebøker, ferie, fortellinger, kosedyr",nob,2006,,
2011052608149,"Amundsen, Brit",Andrine og Sebastian utforsker universet,,2006,,nob,2006,,
2011052608156,"Mehren, Stein",Aurora :,det niende mørke : hymner og myter,2005,,nob,2005,,
2011052608158,"Henriksen, Levi",Bare mjuke pakker under treet :,fortellinger,2006,"2000-tallet, norske, noveller",nob,2006,,
2011052708002,"Nohr, Else-Marie",Arven,,2006,,nob,2006,,
2011052708013,"Rønning, Anne Sofie",Baksiden av midtsommer,,cop. 2006,,nob,2006,,
2011052708015,"Brenden, Laila",Avsløringen,,2005,,nob,2005,,
2011052708016,"Stensrud, Eva J.",Avsløringer,,2005,,nob,2005,,
2011052708018,"Sandviken, Berit Elisabeth",Avslørt,,2005,,nob,2005,,
2011052708024,"Lien, Merete",Arven,,2006,,nob,2006,,
2011052708076,"Hegstad, Inger Harriet",Arvesølvet,,cop. 2005,,nob,2005,,
2011053008114,"Staalesen, Gunnar",Ansikt til ansikt :,kriminalroman,2005,"2000-tallet, kriminalroman, kriminalromaner, norske, romaner, skjønnlitteratur, spenning",nob,2005,,
2011053008116,"Fredriksson, Marianne","Anna, Hanna og Johanna",,2005,,nob,2005,,
2011053008120,"Brenden, Laila",Arven,,2005,,nob,2005,,
2011053008122,"Haff, Bergljot Hobæk",Attentatet :,roman,2005,,nob,2005,,
2011053008136,"Øvsteng, Gyrid Axe",Arv ; Linedans :,skuespill,2005,"skodespel, skuespill",nob,2005,,
2011053108015,"Lockertsen, Terje",Alvor og skjemt :,i dikt og sang,c2005,,nob,2005,,
2011053108017,"Zak, Monica",Alex Dogboy,,2005,"barn, barnebøker, gatebarn, honduras, hunder",nob,2005,,
2011053108025,"Ingvaldsen, Bjørn",Au da,,2005,"barn, barnebøker, besteforeldre, ferie, humor",nob,2005,,
2011053108034,"Nilsen, Svein Roger",Blå toget :,noveller,cop. 2006,,nob,2006,,
2011053108064,"Ragde, Anne B.",Blodsporet,,2006,,nob,2006,,
2011053108065,"Berg, Cecilie Gamst",Blond Lotus :,roman,2006,"hong, kina, kong, kulturforskjeller, oppvekst, romaner",nob,2006,,
2011053108066,"Collett, Camilla",Amtmannens døtre,,cop. 2006,"1800, litteratur, norsk, roman, tallet",nob,2006,,
2011053108081,"Westerveld, Karine",Anders og Malins verden :,en annerledes andaktsbok,cop. 2005,,nob,2005,,
2011053108082,"Kvangraven, Leif Kåre",Blind att augan!,,2006,,nob,2006,,
2011053108085,"Falch, Aase",Blåkammerset :,roman,cop. 2006,"nord-norge, oppvekst, verdenskrigen",nob,2006,,
2011053108087,"Ragde, Anne B.",Biografien om Sigrid Undset :,ogsaa en ung Pige,2006,"barnebøker, biografier, litteratur, norsk, sigrid, undset, ungdomsbøker",nob,2006,,
2011053108098,"Guillou, Jan",Arven etter Arn,,2005,"1200-tallet, 2000-tallet, Høymiddelalder, Middelalder, historie, romaner, svenske, sverige",nob,2005,,
2011053108115,"Undset, Sigrid",,,2006,,nob,2006,,
2011053108121,"Mankell, Henning",Beretning på tidens strand,,2006,,nob,2006,,
2011053108123,"Sjöwall, Maj",Roman om en forbrytelse,,c2006,kriminal,nob,2006,,
2011053108131,"Mankell, Henning",Brannvegg,,2006,,nob,2006,,
2011053108134,"Larssen, Trude Brænne",Bortført,,2006,,nob,2006,,
2011053108154,"Ulvseth, Laila",Bitter høst,,2006,,nob,2006,,
2011053108163,"Staalesen, Gunnar",Bitre blomster,,2006,,nob,2006,,
2011053108164,"Berg, Øyvind",Billigbok :,dikt,2006,"Norsk, dikt, litteratur, prosa",nob,2006,,
2011053108169,"Johansen, Elin Brend",Besatt,,cop. 2006,,nob,2006,,
2011053108171,"Sandemo, Margit",,,cop. 2006,,nob,2006,,
2011053108172,"Bertling, Berit",Blonde dager,,cop. 2006,,nob,2006,,
2011053108173,"Angelsen, Trine",Blodsbånd,,2006,,nob,2006,,
2011053108176,"Sandemo, Margit",Blind måne,,cop. 2006,,nob,2006,,
2011053108177,"Espedal, Tomas",Biografi (glemsel) ; Dagbok (epitafer) ; Brev (et forsøk),,2006,"bergen, forfattere, norge",nob,2006,,
2011060108045,"Rottem, Øystein",Biografien om Knut Hamsun :,guddommelig galskap,2006,"biografier, historie, litteratur, norsk",nob,2006,,
2011060108059,"Svingen, Arne",Bendik og monsteret går under jorden,,2006,"barnebøker, lettlesingsbøker, monstre",nob,2006,,
2011060108065,"Østby, Anne Ch.","Asif, Asif, Asif",,2005,"forelskelse, forente, kulturmøte, rasisme, stater, ungdomsbøker, universitet",nob,2005,,
2011060108075,"Adler-Olsen, Jussi",Alfabethuset,,2006,,nob,2006,,
2011060108078,"Lier, Stein Morten",Bizniz :,thriller,2006,"kriminalromaner, skjønnlitteratur",nob,2006,,
2011060108081,"Bjørneboe, Jens",Samlede verker,,2006,,nob,2006,,
2011060108104,"Sæterbakken, Stig",Besøket :,roman,2006,"2000-tallet, norsk, norske, romanar, romaner, skjønnlitteratur",nob,2006,,
2011060108111,"Mysen, Jane",Avskjed,,2006,,nob,2006,,
2011060108113,"Rønning, Anne Sofie",Barn av is og ild,,cop. 2006,,nob,2006,,
2011060108115,"Jacobsson, Anders",Berts første funderinger :,januar-april,2005,,nob,2005,,
