,100-1- -a,245-1-0-a,260- - -c,653- - -a,lang,year,245-1-0-b,245-1-3-a,245-1-3-b
2011081905082,"Knutsen, Per",Hilsen en som elsker deg,2005,"barnebøker, forelskelse, kjærlighet",nob,2005,,,
2011081905087,"Lorentzen, Gustav",Prompeboken,2005,,nob,2005,,,
2011082308076,"Iversen, Sigmund","Dampskipet ""Solfjell""",2006,,nob,2006,,,
2011082405005,"Hansen, Atle",Gull og edelsteinar :,2005,"barnebøker, sjørøvere, skjønnlitteratur",nno,2005,Sjørøvar-Jenny og Einauge-Bill,,
2011082405059,"Horowitz, Anthony",Scorpia,2005,,nob,2005,,,
2011082608001,"Gahrton, Måns",Absolutt Rosa,2007,,nob,2007,,,
2011082608020,"Paltto, Kirsti",Ája :,2007,"davvisámegillii, nuoraide, romána, čáppagirjjálašvuohta",sme,2007,nuoraidgirji,,
2011082906013,"Dahl, Roald",SVK,2005,kjemper,nob,2005,,,
2011083008005,"Groth, Vibecke",Advokatene,2007,kriminalroman,nob,2007,,,
2011083108033,"Singh, Anan",,2007,"barn, fortellinger, komposisjon, lettlest, litterær, skrivekunst, skriving, ungdom",nob,2007,,En faktahest om å skrive historier,
2011090108017,"Hallberg, Lin",Alle elsker Sigge,2007,hestar,nob,2007,,,
2011090108021,"Butterworth, Nick",Dyrene forteller,2005,"bibelfortellinger, jesusfortellinger",nob,2005,,,
2011090206066,"Hanssen, Arvid",Skirttoájge,2005,"julevsámegillii, lohkangirji, muitalusat",smj,2005,,,
2011090506095,"Ørbeck-Nilssen, Constance",Ikke helt alene,cop. 2009,"angst, billedbøker, einsemd, ensom, ensomhet, følelser",nob,2009,,,
2011090606004,"Wildsmith, Brian",Påskefortellingen,cop. 2005,"barn, bibelen, billedbøker, påske, religionspedagogikk",nob,2005,,,
2011090606041,"McDonald, Megan",Judy Moody redder verden,2005,,nob,2005,,,
2011090606071,"Scott, Walter",Ivanhoe,2005,,nob,2005,,,
2011090606119,"Farley, Terri",Redd mustangene!,2005,,nob,2005,,,
2011090708075,"Åkerblom, Gull",For ei suppe! :,cop. 2007,"kjærleik, ungdomsbøker, vennskap",nno,2007,femte boka om Moa og Samuel,,
2011090808047,"Wethe, Inger",Biografien om Edvard Grieg :,2007,"barnebøker, biografier, komponister, norge",nob,2007,en trollmann med toner,,
2011090908070,"Lessmann, C.B.","Forelskelser, forlovelser, forviklinger",2007,,nob,2007,,,
2011090908091,"Jenseg, Grete Randsborg","Fabel Jakop, havet og den lille melketanna",2007,"angst, barnebøker, fortellinger, kråker",nob,2007,,,
2011091308007,"Solem, Hanne","1, 2, 3 :",2007,"aktiviteter, barnehager, begynneropplæring, matematikk, opplæring",nno,2007,"leik med mengd, rom og form",,
2011091308088,"Torseter, Øyvind",For en neve havre,2005,"billedbøker, cowboyer",nob,2005,,,
2011091408129,"Woolf, Alex",1001 motbydelige historiske fakta :,2009,,nob,2009,dykk ned i dybden av vår ufyselige fortid!,,
2011091906133,"Hellstenius, Axel",Fittekvote :,2010,"forsvaret, jenter, rekruttering, ungdomsbøker",nob,2010,roman,,
2011091908155,"Nygaard, Martin",Autopilot :,2008,,nob,2008,roman,,
2011092108094,"Hammond, Richard",Action! :,2007,"barn, eksperimenter, forsøk, fysikk, øvelser",nob,2007,fysikk og eksperimenter,,
2011092608214,,,2007,,nob,2007,,,
2011092705034,,,cop. 2005,,nob,2005,,,
2011092708016,"Bergløff, Marius B.",Bark &amp; Snerk og Skumringsskogens hersker,cop. 2008,,nob,2008,,,
2011092808017,"Marsh, Tracy",Fancy strikking,cop. 2006,"strikkeoppskrift, ungdom",nob,2006,,,
2011092808079,"Rushton, Rosie",Fjernsyn og forviklinger,2006,,nob,2006,,,
2011092808083,"Øygarden, Bjørg",Askeladden og de nye hjelperne,2008,"barnebøker, eventyr, norske",nob,2008,,,
2011100308172,"Dorsey, Angela",Forlatt,2006,,nob,2006,,,
2011100406102,"Parr, Maria",Vaffelhjarte :,2005,"barn, barnebøker, familien, humor, skjønnlitteratur, vennskap",nno,2005,Lena og eg i Knert-Mathilde,,
2011100406131,"Ingvaldsen, Bjørn",Sangen om Lucy,2010,"barn, barnebøker, drømmer, funksjonshemmede, kreft, mødre, paris, sjukdom, sykdom",nob,2010,,,
2011100408238,"Frøyen, Yngve",Forfedrene,2006,"barnebøker, spenningsbøker, spøkelser, ungdomsbøker",nob,2006,,,
2011100606055,"Gjerdrum, Anne-Lise",Pølsemaker Pettersen og andre folk i byen,2005,"barnerim, billedbøker, yrker",nob,2005,,,
2011100706031,"Künzler-Behncke, Rosemarie",Pias potte,2005,"billedbøker, pottetrening",nob,2005,,,
2011101008016,"Scheving, Magnus",Fotballroboten,cop. 2006,,nob,2006,,,
2011101406061,"Fykse, Gro",Nelias gåte,2010,,nob,2010,,,
2011101408044,"Eliassen, Ruben",Apokalypsen,2008,"barnebøker, barnelitteratur, fantastisk, litteratur, norsk, sirkus",nob,2008,,,
2011102105016,"Ravnå, Per-Bjarne",Jakten på den virkelige Jesus,2007,"barn, familie, jesus, jesushistorier, kristologi, kristus, liv",nob,2007,,,
2011102106052,"Coupe, Robert",Vulkaner,cop. 2011,"barnebøker, lettlest, vulkaner, vulkanutbrudd",nob,2011,,,
2011102106079,"Aurstad, Tore",Ormeøyet,2010,,nob,2010,,,
2011102506011,"Schjerven, Paal Ritter",Molo møter Dronningen,2005,,nob,2005,,,
2011102506088,,,cop. 2005,,nob,2005,,,
2011110306023,"Boyne, John",Mytteriet på Bounty,2010,"mytteri, ungdomsbøker",nob,2010,,,
2011110308028,,De engelske rosene :,cop. 2006,,nob,2006,for godt til å være sant,,
2011110706006,"Bache, Øystein",Opp ned- og litt til siden,2010,"barnelitteratur, norsk",nob,2010,,,
2011110805063,"Vestry, Annabelle",Kan ikke få nok :,2010,,nob,2010,en gossip girl roman,,
2011111605010,"Renhuvud, Madeleine",Miesie Mavve :,2011,"bildebøker, billedbøker, reinsdyr, samiske",sma,2011,vïdtjele juelkiej nelnie,,
2011112805083,"Strask, June Sommer",Leonora,2009,,nob,2009,,,
2011120206005,"Næss, Jan Chr.",Vampyr :,2005,"barnebøker, eventyrskikkelser, vampyrer",nob,2005,"en fortelling om blod, små piker og andre fæle ting",,
2011120206017,"Gier, Kerstin",Rubinrød :,2010,"barnelitteratur, kjærlighet, roman, tidsreiser, tysk, ungdom",nob,2010,kjærligheten går gjennom alle tider,,
2011121538008,"Ewo, Jon",Fortellingen om et mulig drap :,2007,"barnelitteratur, biografier, historie, høgmiddelalderen, høymiddelalderen, middelalderen, middelalderkonger, norge, norsk",nob,2007,et spørsmålstegn av en biografi om middelalderkongen Håkon Sverresson,,
2012011306093,,,2005,,nob,2005,,,
2012011906073,"Brandsnes, Asbjørn Kessel",Professor Ulf Petter Brille og Operasjon humus,2008,,nob,2008,,,
2012012606021,"Nyhus, Svein",Lars danser,2011,"barnelitteratur, bildebøker, billedbøker, dans",nob,2011,,,
2012012705035,"Nyhus, Svein",Pappa!,2005,"barn, bildebok, billedbøker, far, fedre",nob,2005,,,
2012020206053,"Thomson, Emma",,2005,,nob,2005,,,
2012020206117,"Eeg, Harald Rosenløw",Gyldig fravær,2011,"annerledes, døden, norsk, terror, ungdom, ungdomsbøker, ungdomslitteratur",nob,2011,,,
2012020308118,"Nouwens, Marko",Notemester,c2008,"notelesing, notelæring, noter",nob,2008,,,
2012022205059,"Wieslander, Jujja",Mamma Mø faller og slår seg,2006,"billedbøker, kyr, nonsens",nob,2006,,,
2012022906002,"Didelez, Guy",Sommerfuglen,cop. 2005,,nob,2005,,,
2012031606030,"Nimmo, Jenny",Charlie Bone og tidsbryteren,2008,,nob,2008,,,
2012042705024,"Nielsen, Magnus",Svanesang og andre betroelser,cop. 2010,,nob,2010,,,
2012042706017,"Estes, Max",Søppel,2010,"avfall, barnelitteratur, bildebøker, billedbøker, norsk, renovasjon, resirkulering, søppel, yrker",nob,2010,,,
2012050808113,"Magga, Lajla Mattsson",Meerke,2008,,sma,2008,,,
2012051408032,"Spilsbury, Richard",Biomasse,2010,"bioenergi, biomasse, energi, energikilde, fornybar",nob,2010,,,
2012052324001,,,2005,"gutter, oppslagsverk",nob,2005,,,
2012052505052,"Melchior, Siri",Rita og Krokodille på tur i skogen,2005,"billedbøker, humor, krokodiller",nob,2005,,,
2012060605042,"Warner, Sally",Penger er ikke alt,2006,,nob,2006,,,
2012060605071,"Tanemura, Arina",,2005,,nob,2005,,,
2012060805100,"Hartman, Bob",Verdens beste dyrefortellinger,2005,"dyr, eventyr, fabler",nob,2005,,,
2012061105055,"Giæver, Anders",Walt Disney,2008,"animasjonsfilm, biografier, tegnefilmer, usa",nob,2008,,,
2012061105078,,,2006,,nob,2006,,,
2012061305096,"Johnson, Lois Walfrid",,cop. 2007,,nob,2007,,,
2012061406015,"Herredsvela, Eivind",24 dager til jul,2010,"barnebøker, billedbøker, jul",nob,2010,,,
2012061406020,"Childs, Tera Lynn",Phoebe på gudinnecamp,2010,,nob,2010,,,
2012061406134,"Crowther, Kitty",Morgenstund,2011,"barnelitteratur, belgisk, bildebøker, billedbøker, dagligliv",nob,2011,,,
2012061505034,"Shan, Darren",Dødens skygge :,2010,,nob,2010,du kan ikke lure døden-,,
2012061505097,"Aamodt, Ingunn",Grusom spådom,2012,,nob,2012,,,
2012061905118,"Svingen, Arne",Mannen med seks fingre ; Spøkelseshotellet ; Den onde læreren,2012,,nob,2012,,,
2012062105021,"Pedersen, Signe Olaug",Mysteriet med treningsnarkomanen,2011,,nno,2011,,,
2012062105036,"Kieri, Katarina",I dette treet,2011,"alkoholisme, ensomhet, familien, fedre, skilsmisse, søsken, ungdom, ungdomsbøker",nob,2011,,,
2012062205087,"Hagerup, Klaus",Markus er konge,2011,,nob,2011,,,
2012062506111,"Bøgh Andersen, Kenneth",Dødspillen,2010,,nob,2010,,,
2012062605013,"Ringtved, Glenn",Hola Manolo,2009,,nob,2009,,,
2012062606084,"Hallberg, Lin",Sigges vennebok,2008,,nob,2008,,,
2012062806033,"Mienna, Jens Martin",Eallima čoavdda - ganjal :,2010,,sme,2010,nuoraid romána,,
2012062806068,"Kjelsen, Reidar",Æsj!,2010,"barnebøker, billedbøker, blokkbokstaver, bokstaver, lettlesebøker, lettlest, store",nob,2010,,,
2012062806104,,,[2012],,nob,2012,,,
2012062906053,"Dorsey, Angela",,2012,,nob,2012,,Et desperat kappløp,
2012070306176,"Stroud, Jonathan",Golemens øye,2012,,nob,2012,,,
2012070405088,"Kjetun, Mari",Helt Max i dyreparken,2011,"barnelitteratur, lettlest, norsk",nob,2011,,,
2012070505110,"Robert, Na'ima bint",Gashtīk ba nāw hunary islamida =,2005,"barnelitteratur, bildebøker, biletbøker, fortellinger, islam",mul,2005,En reise gjennom islamsk kunst,,
2012070506060,"Migliardo, Emiliano",Let og finn,[2011],,nob,2011,,,
2012070606016,"Gier, Kerstin",Safirblå :,2012,,nob,2012,kjærlighet til alle tider,,
2012071206220,"Johnsen, Grete Marie",Barna i Møllebakken,2011,,nob,2011,,,
2012071305000,"Burnett, Frances Hodgson",,2011,"barnebøker, barnelitteratur, engelsk, klassikere, klassiske",nob,2011,,,
2012071338038,"Sande, Hans",Arkimedes i Prompeland,2006,"biletbøker, billedbøker, nonsens, skjønnlitteratur",nno,2006,,,
2012071638039,,,2006,,nob,2006,,,
2012071705108,"Krott-Unterweger, Vera",Max og Sebastian :,cop. 2007,"billedbøker, downs, funksjonshemmede, syndrom, vennskap",nob,2007,et spesielt vennskap,,
2012071806016,"Moe, Egil R.R.",Alle bor i Sungsungsung,cop. 2011,"barnebøker, billedbøker, forsterhjem, fosterbarn",nob,2011,,,
2012071806098,"Dixon, Franklin W.",Karateskolen,2010,,nob,2010,,,
2012072338041,"Davidson, Susanna",Dyr fra hele verden,2005,,nob,2005,,,
2012072505075,,Kirkegården,2011,,nob,2011,,,
2012082309502,,,2011,,nob,2011,,,
2012082309503,"Unger, Camilla","Mia og Mons - hjelp, vi har fått lus!",2011,"barnebøker, billedbøker, hodelus, lus",nob,2011,,,
2012082309506,"Ousland, Bjørn",Dragejakten,2011,"barnelitteratur, bildebøker, billedbøker, drager, eventyr, humor, norsk, prinsesser",nob,2011,,,
2012091905004,"Sivertsen, Ole André",Leseuniverset 5-7,cop. 2010,,nno,2010,,,
2012102206078,"Muchamore, Robert",Kokainkongen,cop. 2010,"agentar, agenter, spenningslitteratur",nno,2010,,,
2012102306020,"Kjærnli, Tone",Hjelp! Det er noen her-,cop. 2006,"angst, barnebøker, søsken, vennskap",nob,2006,,,
2012102907013,"Mansbach, Adam","Sov, for helvete",2011,"barn, bildebøker, billedbøker, foreldre, humor, soving, søvn",nno,2011,,,
2012102907085,"Cleminson, Katie",,cop. 2009,,nob,2009,,,
2012102907191,"Güettler, Kalle",Store monster græt ikkje,cop. 2011,,nno,2011,,,
2012103006055,"Knudsen, Sverre",Elsker,2009,"akseptering, fedre, kjærlighet, seg, selv, ungdomsbøker",nob,2009,,,
2012103006082,"Thörnqvist, Mikael",Taklinger,2009,barnelitteratur,nob,2009,,,
2012110106065,"Fosser, Per Einar",Himmelhunden :,cop. 2009,,nob,2009,hvordan himmelhunden Tjafs fløy til Afrika for å hente lille Livine : en liten bok om godt og ondt for store og små,,
2012110206034,"Gahrton, Måns",,2009,,nob,2009,,Et midtsommernattsmareritt,
2012110206099,"Sareen, Manu",Iqbal Farooq og den svarte Pierrot,2008,"barnebøker, flerkulturell, humor, innvandrere, kulturmøter",nob,2008,,,
2012110806043,"Ardelius, Gunnar",Jeg trenger deg mer enn jeg elsker deg og jeg elsker deg så himla høyt :,2006,"kjærlighet, ungdomsbok",nob,2006,roman,,
2012111308027,"Gustavsson, Per",Prinsessens rockeband,2011,"billedbok, prinsesser",nob,2011,,,
2012111308058,"Schneider, Liane",Lotte i dyrehagen :,cop. 2010,"barnehager, billedbøker, dyr, hager, zoologiske",nob,2010,en fortelling,,
2012111308093,"Matthews, Rupert",Gladiatorer,cop. 2012,"antikken, romerriket, ungdomsbøker",nob,2012,,,
2012111406131,"Colfer, Eoin",Flygeren,2009,"barnebøker, fengsel, fly, historie, oppfinninger, ungdomsbøker",nob,2009,,,
2012111406184,"Ljungqvist, Stefan",Gjestene,2010,,nob,2010,,,
2012111506064,"Bringslid, Mary Bente",Stankelbeinskrift,2009,"barn, dikt, rim, skjønnlitteratur",nno,2009,,,
2012111508119,"Halling, Thomas",Farlig ferie,2012,,nob,2012,,,
2012111508216,"Ingvaldsen, Bjørn",Harald Hårfagre,2010,"barnebøker, historie, middelalderen, norge, vikingtiden",nob,2010,,,
2012111608021,"Bringsværd, Tor Åge","Tambar, trollkjerringa og sjøormen :",2011,,nob,2011,en samlebok,,
2012111906088,"Chipman, Sissel",Trolldom over Tåkemyra,2009,,nob,2009,,,
2012112206018,"Scheen, Kjersti",Sofie og hulesteinen,2007,lettlesingsbøker,nob,2007,,,
2012112206031,"Lindell, Unni",Elsker deg av hele mitt jærte!,2008,"barnebøker, forelskelse, lettlesningsbøker, lettlest",nob,2008,,,
2012112206196,"Lessmann, C.B.","En for alle, hver for seg",2008,,nob,2008,,,
2012112308185,"Kjær, Jan",Hekseboken,2012,"barn, barnebøker, fantasi, grafiske, lettlest, link, romaner",nob,2012,,,
2012112638108,"Reftel, Johan",Con Dios,2011,"konfirmantarbeid, konfirmasjon, religionspedagogikk",nob,2011,,,
2012112808003,"Hagerup, Hilde",Bak Dødsfjellet,2012,"barnelitteratur, norsk, spøkelser, ungdomsbøker",nob,2012,,,
2012112808045,"Mysen, Christine",Såret,2011,,nob,2011,,,
2012120305098,,,2005,,nob,2005,,,
2012120308157,"Ottesen, Josefine",Lynild og ormehugg,2012,,nob,2012,,,
2012120308231,"Rushdie, Salman",Luka og livets flamme,2011,,nob,2011,,,
2012120408063,"French, Jackie","Savner deg, hilsen Sara",2011,,nob,2011,,,
2012120506026,"Riordan, Rick",,2011,"amerikansk, egyptisk-mytologi, litteratur, spenning, ungdomsbøker",nob,2011,,,
2012120605080,"Aspeli, Widar",Skjult i skyggene,2009,"barn, spenning",nob,2009,,,
2012120705020,"Widmark, Martin",Safranmysteriet,cop. 2007,,nob,2007,,,
2012120738016,"Hattestein, Heidi",Jorunn i Alden,2010,,nno,2010,,,
2012121005087,,,2005,,nob,2005,,,
2012121206058,"Simonsen, Stian Barsnes",,2008,"barn, forelskelse, kjærlighet, ungdom",nob,2008,,En faktahest om forelskelse (-og kyssing),
2012121308152,"Stahl, Hilda",Problemer på Sandhill ranch,cop. 2005,,nob,2005,,,
2012121705094,"Skåden, Asbjørg",Froskemora =,2008,"barnebøker, billedbøker, eventyr, frosker, samiske",nob,2008,Čuoppomáddu,,
2012122005000,"Erlbruch, Wolf",Det store spørsmålet,2007,"biletbøker, eksistens, identitet, undring, universet, verden",nob,2007,,,
2012122005059,"Sunne, Linn T.",Størst,2006,"barnebøker, fortellinger, hverdagsliv, søsken",nob,2006,,,
2013010208085,"Ewo, Jon",Kjip skrens,2006,"brødre, lettlest, motorsykler, skjønnlitteratur, ulykker, ungdom",nob,2006,,,
2013010708157,"Bredow, Katarina von",Søskenkjærlighet,2008,"incest, søsken, ungdomsbøker",nob,2008,,,
2013010708191,"Jensen, Jørn",Kaldt blod,2011,lesetrening,nob,2011,,,
2013010805003,"Gahrton, Måns",Å være eller ikke være - sammen,2008,"barnelitteratur, litteratur, svensk",nob,2008,,,
2013010806070,"Blomquist, Lise",Taekwondo er ingen lek!,2007,"barnebøker, idrett, kampidrett, lettlesingsbøker, lettlest, sport, taekwondo",nob,2007,,,
2013010808047,,,2007,"barnebøker, fortellinger, spenningslitteratur",nob,2007,,,
2013010808048,"Nilsson, Moni","Kyss, klapp og klem",2012,"barnebøker, besteforeldre, familien, forelskelse, vennskap",nob,2012,,,
2013010906190,"Bergström, Gunilla",,2007,"barn, billedbøker, funksjonshemmede, psykisk, søsken",nob,2007,,,
2013010906191,"Kuhn, Camilla",Hvordan Greger Grinebiter havnet i bitter duell og alt nesten ble helt rosa,2007,"naboer, naboskap",nob,2007,,,
2013010906205,"Dale, Hildegunn",Skugge under Grønskarvet,2007,"barn, barnebøker, skjønnlitteratur, tro, tvil",nno,2007,,,
2013010906210,"Mostue, Sigbjørn",Krakens gap,2007,barnebøker,nob,2007,,,
2013010906227,"Roll, Halvor",Skurkestreker i rød saus :,2007,"barn, barnebøker, barnepoesi, dikt, regler",nob,2007,dikt og regler,,
2013010906234,"Herman, Gail",Mira og fullmånen,2007,,nob,2007,,,
2013010906248,"Soltvedt, Thor",HyPer i gravkammeret,cop. 2007,"adhd, barn, barnebøker, egypt, hyperaktive, hyperaktivitet, mbd",nob,2007,,,
2013010908055,"Littlewood, Kathryn",Lykke bakeri,2012,"barnebøker, fantasi, fantastisk",nob,2012,,,
2013010908108,"Ewo, Jon",Monster!,2012,"blokkbokstaver, monstre",nob,2012,,,
2013011005014,"Delval, Marie-Hélène","Gud, hvem er det?",cop. 2007,"barn, barnebøker, gudsbegrepet",nob,2007,,,
2013011006047,"Heivoll, Gaute",Himmelen bak huset,2008,"barn, barnebøker, død, døden, foreldre, savn, sorg, sorgprosesser",nob,2008,,,
2013011106013,"Dreyer, Lisbeth",Øystein Øyenstikker og andre små kryp i hagen,cop. 2008,"barnepoesi, billedbøker, dikt, insekter",nob,2008,,,
2013011406000,"Hagerup, Linde",Verdens største gorilla og andre rim,2008,"barn, barnebøker, barnepoesi, dikt, regler, rim",nob,2008,,,
2013011406026,"Nilsson, Moni",Tsatsiki og fattern,2006,,nob,2006,,,
2013011406116,"Morrell, Gill",Ponnivinter,2008,,nob,2008,,,
2013011408107,"Noël, Alyson",Blå måne,2011,,nob,2011,,,
2013011607180,"Aurstad, Tore",Nå eller aldri!,2009,,nob,2009,,,
2013011607241,"Allen, Robert",Hjernetrim for barn,2010,,nob,2010,,,
2013011607305,"Janouch, Katerina",Ingrid skal sove,2009,"barn, billedbøker, drømmer, leggetid",nob,2009,,,
2013012108105,"Lore, Pittacus",Jeg er nummer fire,2012,,nob,2012,,,
2013012205051,"Hagerup, Klaus",Markus og karaokekongen,2008,,nob,2008,,,
2013012206022,"Nicolaysen, Marit",Svein og rotta og det store gavekaoset,2007,"barnebøker, skjønnlitteratur",nob,2007,,,
2013012406026,"Parr, Maria",Tonje Glimmerdal,2009,"barn, barnebøker, vennskap, vinter, voksne",nno,2009,,,
2013012806025,"Andersen, Eduardo",Fortellingen om Brann :,cop. 2010,,nob,2010,klubben hele Bergen brenner for,,
2013012907136,,,cop. 2009,,nob,2009,,,
2013013008097,"Fykse, Gro",Nelias sorg,2012,,nob,2012,,,
2013013008171,"Nöstlinger, Christine",Frans blir detektiv,2011,"barnebøker, barnelitteratur, detektiv, leseløve, lettlest, norsk",nob,2011,,,
2013013105001,"Garvang, Arne",Skoda Octavia Combi,2009,"barnebøker, spenningslitteratur, ungdomsbøker",nob,2009,,,
2013013105015,"Jensen, Jørn",Kaldt blod,2009,lesetrening,nob,2009,,,
2013013105115,"Lewis, C.S.",Prins Caspian,2008,"barnebøker, barnelitteratur, engelsk, fantastisk, litteratur, tro",nob,2008,,,
2013013106035,"De Leeuw, Jan",Nattfolket,2009,"norge, ungdomsbøker, vikingtiden",nob,2009,,,
2013013106179,"Chapman, Linda",Trylleformelen,2007,,nob,2007,,,
2013013106329,"DiTerlizzi, Tony",Spiderwick-krønikene,2008,,nob,2008,,,
2013020608052,"Halvorsen, Anne-Berit",Julelys :,c2005,,mul,2005,"solo, duetter og trioer : for fiolin med CD-komp",,
2013020808035,"Berg, Øivind",Senk Najaden!,2012,,nob,2012,,,
2013021109025,,,2008,"akkompagnering, akkorder, besifring, improvisasjon, samspill",nob,2008,,,
2013021207064,"Aurstad, Tore",Marsepolis,2009,"fiction, science",nob,2009,,,
2013021438051,"Toulmin, Sarah",Barnas bibel,2011,,nob,2011,,,
2013021538027,"Sande, Hans",Slangen i graset,2007,"biletbøker, billedbøker, fantasi, kaniner, språk",nno,2007,,,
2013022238120,"Asbjørnsen, P. Chr.",Dyreeventyr fra Asbjørnsen og Moe,cop. 2007,"barnebøker, dyr, eventyr, norske",nob,2007,,,
2013022238156,"Asland, Olav",Elias og kongeskipet,2007,,nob,2007,,,
2013022506035,"Nilsson, Frida",Hedvig og sommeren med Steken,2010,"barnebøker, ferie, sommer, vennskap",nob,2010,,,
2013022606073,"Thorpe, Kiki",Oppgjør på Camp trøstesløs,2006,,nob,2006,,,
2013022606114,"Gotthardt, Peter",Farlige vikinger,2010,,nob,2010,,,
2013022606130,"Mysen, Christine",Triste nyheter,2010,,nob,2010,,,
2013022606157,,Fulltreffer! :,2009,,nob,2009,og andre fotballhistorier,,
2013022738069,,,cop. 2009,"barnebøker, kajakk, kano, padling, utstyr",nob,2009,,,
2013022738107,"Hurum, Jørn H.",Ida,2011,"barnebøker, darwinius, eocen, fossilar, fossiler, masillae, paleontologi, primatar",nno,2011,,,
2013030406006,"Hagmar, Pia",Sara og Jonte,2007,,nob,2007,,,
2013030438094,"Aniksdal, Anita",Luktedronningens bursdag,2013,"alkoholisme, barn, rusmisbruk",nob,2013,,,
2013030505004,"Grace, N.B.",High school musical 3 :,2008,,nob,2008,senior year,,
2013030506145,"Hansen, Atle",Fangar i natta :,2008,"barnebøker, skjønnlitteratur, spenning",nno,2008,spenningsroman,,
2013030506182,"Shan, Darren",Slackt :,2010,,nob,2010,"når regissøren roper ""Kutt!""",,
2013031905037,"MacDonald, Anne Louise",,2006,,nob,2006,,En hest for Kim,
2013031906004,,Jungelvampyren,2009,,nob,2009,,,
2013031906005,"French, Jackie",Livet er ikke en film,2009,,nob,2009,,,
2013031906009,"David, Juliet",Hermons ABC-bibel,2008,,nob,2008,,,
2013032005060,"Jonassen, Terje",,2008,,nno,2008,,,
2013032005111,"Nilsen, Ole-Mikal",Døden lyser blått,2009,,nob,2009,,,
2013032106130,"Männikkö, Lise",Hemmelig agent 24 :,cop. 2009,"barnebøker, krig, norge, ungdomsbøker",nob,2009,gutten fra Rjukan som ble Norges største krigshelt,,
2013032208075,"Gier, Kerstin",Rubinrød :,2011,ungdomsbøker,nob,2011,kjærligheten går gjennom alle tider,,
2013040208106,"Ottesen, Josefine",Roselill og blomsterkrigen,2007,,nob,2007,,,
2013040305003,"Keene, Carolyn",Det forsvunne halskjedet,2009,,nob,2009,,,
2013040305011,"Shan, Darren",Lord Loss :,2006,,nob,2006,det ligger i blodet-,,
2013040305051,,,[2008?],,nob,2008,,,
2013040306097,"Gripe, Maria",Skygge-gjemsel,2006,,nob,2006,,,
2013040807149,"Harild, Kirsten Sonne",Cornelius Krutt :,2010,,nob,2010,saken om Hopovic Junior,,
2013041105106,"Bråtebekken, Christian",Birger bilberger redder dyrene i Afrika,2008,,nob,2008,,,
2013041206054,"Sandberg, Kristín A.","Iris, skjebnehjulet",2008,"barn, båtflyktninger, foreldre, klassemiljø, ungdomsbøker",nob,2008,,,
2013041206059,"Funke, Cornelia",Blekkdød,2009,"barn, barnebøker, bøker, fantastisk, foreldre, forfattere, lesning, litteratur, ungdomsbøker",nob,2009,,,
2013041206062,"Eberhard, Martina",Fang snikrytterne!,2010,,nob,2010,,,
2013041206157,"Årnes, Sverre",Trine-trøbbel og Lucy-leven,2006,,nob,2006,,,
2013041505023,"Mæhle, Lars",Knoterud FK :,2010,,nno,2010,lokaloppgjeret,,
2013041506164,"Keene, Carolyn",Frøken Detektiv på ferde igjen,2008,,nob,2008,,,
2013041506168,"Doyle, Roddy",Trofast redder julen,2008,,nob,2008,,,
2013041506187,,Det mystiske speilet :,2010,,nob,2010,og andre vampyrfortellinger,,
2013041606048,"Sørum, Steffen",Fanget,2008,"barnebøker, korstogene, pilegrimsreiser",nob,2008,,,
2013041805012,"Von Ziegesar, Cecily",Gossip girl,2008,,nob,2008,,,
2013041805096,"Ottesen, Josefine",Sagaen om Sigurd,2008,,nob,2008,,,
2013041806040,"Rahn, Sabine",Ponni hos frisøren og andre ponnihistorier,2008,,nob,2008,,,
2013041806070,"Kaldhol, Marit",Kino :,cop. 2006,"barn, barnebøker, noveller, seksualitet, skjønnlitteratur, ungdomsbøker",nno,2006,noveller for ungdom,,
2013041806132,"Linde, Heidi",Jug!,2009,,nob,2009,,,
2013041807011,,,cop. 2010,"barn, tall, telle",nob,2010,,,
2013041906172,"Alfonsi, Alice",Hannah taper masken,2007,,nob,2007,,,
2013042206021,"Jensen, Jørn",Kasper på fotballeir,2007,"barnebøker, fotball, lettlesingsbøker",nob,2007,,,
2013042305085,"Mørck, Sidsel",Hurra for tante Jensen,2010,lettlest,nob,2010,,,
2013042306023,"Campbell, Joanna",,2007,,nob,2007,,,
2013042306152,"Sandin, Joan",,cop. 2006,,nno,2006,,,
2013042506004,"Ringtved, Glenn",Venner for alltid,2010,"barnebøker, fotball, vennskap",nob,2010,,,
2013042506112,"Olczak, Martin",Megagutten :,2008,,nob,2008,den store hemmeligheten,,
2013043005005,"Bross, Helena",Vi vil ha disko,2009,,nob,2009,,,
2013043005006,"Bødker, Benni",Sarin og Stjernetårnet,2009,,nob,2009,,,
2013043006087,"Fjellaksel, Solfrid",Beaivvi bártni suotnjodeapmi,2010,,mul,2010,,,
2013043007065,"Williams, Mel",Alt om Twilightgutta,2010,,nob,2010,,,
2013051406047,"Dale, Anna",Heksekamp,2006,"barnebøker, fantastisk, hekser, litteratur, magi, trolldom",nob,2006,,,
2013051407017,"Olszak, Jerzy",Vinterferien,2008,,nob,2008,,,
2013052707009,"Hølleland, Øistein",Spurvegutten :,cop. 2007,"alkoholisme, angst, billedbøker, jul, rus",nob,2007,en julefortelling,,
2013052707013,,Maya blir uvenn med Ada,2010,,nob,2010,,,
2013052707016,"Grossmann, Kari",Malvin :,2010,billedbøker,nob,2010,en samlebok,,
