,100-1- -a,245-1-0-a,260- - -c,653- - -a,lang,year,245-1-0-b,245-1-3-a,245-1-3-b
2018070507046,"McLachlan, Jenny.",Danse-trøbbel,2015,,nob,2015,,,
2018070507056,"Collins, Suzanne",Underland-krøniken,2015,,nob,2015,,,
2018070507073,"Spyri, Johanna",Heidis lære- og vandreår :,2015,,nob,2015,roman,,
2018070507083,"Muchamore, Robert",Generalen,2015,,nno,2015,,,
2018070507097,"Weberg, Liv Marit",Det er heldigvis ingen som trenger meg,2015,,nob,2015,,,
2018070507099,"Oseman, Alice",Solospill,2015,"blogging, forelskelse, internett, tenåringer, ungdom, ungdomsbøker",nob,2015,,,
2018070507114,"Nielsen, Susin.",Vi er molekyler,2015,,nob,2015,,,
2018070507115,"Collins, Suzanne",Underland-krøniken,2015,,nob,2015,,,
2018071207014,"Dixon, Franklin W..",Forsakelsens hus,2015,,nob,2015,,,
2018071207031,"Torkildsen, Terje",Arrfjes :,2015,"1800-tallet, historie, seilskuter, sjømenn",nno,2015,roman,,
2018071207044,"Peterson, Andrew",Vokteren og Vargekongen :,cop. 2015,,nob,2015,"havdrager, en desperat søken, og det endelige slaget om Den skinnende øya",,
2018071207094,"Røyset, Ingunn",Aldri fred å få :,2015,"barnebøker, barnelitteratur, litteratur, norsk, tidsreiser, verdenskrigen",nno,2015,roman,,
2018071207097,"Næss, Robert",Gullfeber,cop. 2015,,nob,2015,,,
2018071207150,"Parvela, Timo",Invitasjonen,cop. 2015,,nob,2015,,,
2018071607045,"Aspeli, Widar",Sort enke :,2015,"barn, besteforeldre, kjærlighet, savn, sorg",nob,2015,Mustangen,,
2018071607091,"Kellner, Ingrid",Alina og Julian treffer Jesusbarnet,2015,,nob,2015,,,
2018071607133,"Marsden, John",Checkers,2015,,nob,2015,,,
2018071607137,"Bross, Helena",Innbrudd på skolen,2015,"barnebøker, skjønnlitteratur",nob,2015,,,
2018071707023,"Ecklund, Gunhild J.",Hva er økonomi? :,cop. 2015,,nob,2015,fakta og funderinger,,
2018071707024,"Palm, Linda",Eg-du-vi,2015,,nno,2015,,,
2018071707031,"Edwards, Ellen M. Tudor",Explore,2015,"barnetrinnet, engelsk, grunnskolen, k06, lærebøker",mul,2015,engelsk for barnesteget,,
2018071707090,"Schutten, Jan Paul",Livets gåter og de stinkende sokkene til Jonas Gnist,cop. 2015,"barnebøker, biologi, evolusjon, naturfag, naturhistorie, utviklingslæren",nob,2015,,,
2018071707132,"Sønneland, Håkon Forfod",Skumle småkryp,2015,"grunnskole, lærebøker, norsk",nno,2015,,,
2018071707526,"Kompelien, Kåre",Sadako og de 1000 papirtranene,2015,,nob,2015,,,
2018071707589,"Sandnes, Hans Jørgen",Her kommer mormor,2015,,nob,2015,,,
2018071707590,"Rørvik, Bjørn F.",Purriot og skimysteriet,[2015],"barnelitteratur, humor, krim, norsk",nob,2015,,,
2018071707598,"Gordan, Kajsa","Hører du, Kjelle?",2015,"bildebøker, hunder, hørsel, lyder",nob,2015,,,
2018071707621,"Bruheim, Magnhild",Hyttemysteriet :,2015,"barnebøker, litteratur, norsk, spenning, spenningsbøker, stesøsken, ungdomsbøker",nno,2015,roman,,
2018071707626,"Hagerup, Hilde",Hvite mareritt,2015,,nob,2015,,,
2018071807038,"Weiner, Eric.",Dora på sommerferie! ; Dora liker sport!,2015,,nob,2015,,,
2018071807048,"Lindgren, Astrid",Jo visst kan Lotta sykle,2015,"barn, litteratur, svensk",nob,2015,,,
2018071807138,"Edwards, Ellen M. Tudor",Explore,2015,"barnetrinnet, engelsk, grunnskolen, k06, lærebøker",mul,2015,engelsk for barnesteget,,
2018071807142,"Rasch-Halvorsen, Anne",Tusen millioner,2015,"grunnskolen, kunnskapsløftetk13, lærebøker, læreplan, læreverk, matematikk, revidert",nob,2015,,,
2018071807161,"Skjønsberg, Harald",Terror,2015,"barnebøker, historie, terror, terrorisme, ungdomsbøker",nob,2015,,,
2018071807208,"Solbjør, Cathrine Myhre",På rømmen i dusteland,2015,"barnelitteratur, norsk",nob,2015,,,
2018071807261,"Norlin, Arne",Oppgjøret,2015,,nob,2015,,,
2018071807267,"Fitzgerald, Sarah Moore.","Tro, håp og eplekake :",cop. 2015,,nob,2015,det er alltid noen smuler igjen-,,
2018071807295,"Kaaberbøl, Lene",Skammarteiknet,2015,"fantastisk, fantasy, litteratur",nno,2015,,,
2018071807318,"Halvorsen, Lone",Wilma har to mammaer,2015,"barnebøker, bildebøker, billedbøker, familier, homofile, lesbiske, likekjønnede, mødrer, oppvekstmiljø, samlivsformer",nob,2015,,,
2018071807321,"Anly, Ingeborg",Kaleido,2015,"barnetrinnet, grunnskolen, k13, lærebøker, læreverk, norsk",nob,2015,,,
2018071907004,"Karstensen, Truls",Tigeren som ikke hadde striper,cop. 2015,,nob,2015,,,
2018071907014,"Gjersøe, Vera",Livet på gården,2015,"barn, barnebøker, billedbøkerbildebøker, dyr, gårdsdrift, husdyr, landbruk",nob,2015,,,
2018071907026,"Dahl, Hanne Hafnor",Radius,2015,"barnetrinnet, grunnskolen, k0613, lærebøker, matematikk",nno,2015,matematikk for barnetrinnet,,
2018071907044,"Alseth, Bjørnar",Multi [5-7],2015,"grunnskolen, k06, kunnskapsløftet, lærebøker, læreverk, matematikk",nno,2015,,,
2018071907158,"Lystad, Mina",Alfred må lese høyt,cop. 2015,"barnebøker, elever, skoleelever",nob,2015,,,
2018071907159,"Wänblad, Mats",,2015,,nob,2015,,Et monster går på kino,
2018071907161,"Engholm, Bengt-Erik",Sjøuhyrer,2015,"barnebøker, blekksprut, lettlest, monstre, sjøormer, sjøuhyrer",nob,2015,,,
2018071907162,"Fiske, Anna",Lykke,2015,"barnelitteratur, bildebøker, billedbøker, følelser, lykke, norsk",nob,2015,,,
2018072007025,"Berge, Atle",Birk og Barcelona-gjengen,2015,"barnebøker, fotball",nno,2015,,,
2018072007092,"Tufvesson, Paulina.",Hest &amp; klikkertrening,[2015?],,nob,2015,,,
2018072007095,"Aamodt, Ingunn",Usynlige Snefrid og Nusselige Mus,2015,"barnelitteratur, bildebøker, billedbøker, norsk",nob,2015,,,
2018072007158,"Hjardar, Espen",Faktor,2015,"grunnskolen, k13, kunnskapsløftetk06, lærebøker, læreplan, læreverk, matematikk, revidert, ungdomstrinnet",nob,2015,,,
2018072007166,"Gjerdrum, Anne-Lise",Tusen millioner,2015,"grunnskolen, kunnskapsløftetk06, lærebøker, læreverk, matematikk",nob,2015,,,
2018072007192,"Solberg, Cecilie",Stairs,2015,"engelsk, grunnskolen, lærebøker, læreverk, mellomtrinnet",nob,2015,,,
2018072007193,"Diskin, Elizabeth",Enter 8,2015,"engelsk, grunnskolen, k0613, lærebøker, ungdomstrinnet",mul,2015,engelsk for ungdomssteget,,
2018072307008,"Opstad, Gunnar",Trærne skyter knopper,2015,"barnebøker, barnelitteratur, frykt, lettlest, norsk",nob,2015,,,
2018072307009,"Solem, Hanne",Jonnas dagbok 1,2015,,nno,2015,,,
2018072307050,"Helland, Tarjei",Samfunnskunnskap 9,2015,"grunnskolen, k06, k13, kunnskapsløftet, lærebøker, læreplan, læreverk, revidert, samfunnsfag",nob,2015,,,
2018072307178,"Øvreås, Håkon",Svartle,2015,,nob,2015,,,
2018072307192,"Knape, Wolfgang",Robinson Crusoe,2015,,nob,2015,,,
2018072407012,"Joma, Liv Karin",Gïeline åahpenidh 5 :,2015,"grunnskole, lærebøker, språk, sørsamisk",sma,2015,lohkemegærja : åarjelsaemien voestesgïeline,,
2018072407017,"Utsi, Marit Alette",Gággi 1,2015,,sme,2015,,,
2018072407083,"Gaarder, Jostein",I et speil i en gåte,2015,,nob,2015,,,
2018072407144,"Hovden, Magne",Blodhevn,2015,,nob,2015,,,
2018072507059,"Larsen, Frode Eie",Englefjær :,2015,,nob,2015,krimroman,,
2018072507065,"Pilkey, Dav",Kaptein Supertruse og de drittleie doene,2015,,nob,2015,,,
2018072507066,"Ragde, Anne B.",Mannen og de kranglesyke sønnene,cop. 2015,"barnebøker, billedbøker, fabler, lettlest, æsops",nob,2015,,,
2018072507075,"Igland, Torborg",Flukten,2015,framtidssamfunn,nob,2015,,,
2018072507079,"Kolu, Siri",Røvernes herre,2015,,nob,2015,,,
2018072507080,"Kibuishi, Kazu",Byen bak skyene,2015,,nob,2015,,,
2018072507082,"Saanum, Kari","Gråt, baby :",2015,"alkoholmisbruk, foreldre, forelskelse, lettlest, ungdomsbøker",nob,2015,roman,,
2018072507084,"Larsson, Åsa",Grimen,2015,"barnelitteratur, spenning, varulver",nob,2015,,,
2018072507085,"Larsson, Åsa",Utburden,2015,,nob,2015,,,
2018072507086,"Lampard, Frank",Frankie vs. Ridder FK,2015,,nob,2015,,,
2018072507087,"Kaaberbøl, Lene",Atterkomaren,2015,"barnebøker, dansk, fantastisk, hekser, litteratur, trolldom",nno,2015,,,
2018072507129,"Flanagan, John",,2015,,nob,2015,,,
2018072507132,"Frohde, Liv",Jacob og hunden,2015,"dyr, hundar, hunder, litteratur, norsk, sorg",nob,2015,,,
2018072507144,"Simon, Francesca",Rampete Robins fakta om dyr,2015,,nob,2015,,,
2018072507145,"Søgaard, Pia",Bibel - hverdag - tweens,cop. 2015,"barnebøker, bibelen, fortellinger, gt, kristendom",nob,2015,,,
2018072507151,"Ewo, Jon",Zombiejakten,2015,,nob,2015,,,
2018072507152,"Hanlon, Abby.",Fantasidilla,2015,"barnebøker, fantasi",nob,2015,,,
2018072507153,"Ingvaldsen, Bjørn",Snørør,2015,,nob,2015,,,
2018072507154,"Ingvaldsen, Bjørn",,2015,,nob,2015,,,
2018072507155,"Moltubakk, Maria",,2015,,nob,2015,,,
2018072507156,"Moltubakk, Maria",Kattungen Zhote,2015,,nob,2015,,,
2018072507165,"Kvalnes, Øyvind",Målvakta,2015,,nno,2015,,,
2018072507172,"Borge, Synnøve",Bubo bubo,2015,"grunnskole, grunnskolen, lærebøker, læreverk, norsk, språk",nob,2015,,,
2018072507182,"Zoschke, Barbara",Brannmann Birger,2015,,nob,2015,,,
2018072507194,"Griffiths, Andy",Verdens mest korrekte faktabok om kroppen,cop. 2015,,nob,2015,,,
2018072507195,"Ingebrigtsen, Hilde Hurlen",Skogens hemmelighet,2015,,nob,2015,,,
2018072507196,"Horst, Jørn Lier",Rivertongåten,cop. 2015,"barnebøker, spenning",nob,2015,,,
2018072507197,"Horst, Jørn Lier",Hodeskallegåten,cop. 2015,"barn, barnebøker, kriminalromaner, norsk, skjønnlitteratur, ungdom",nob,2015,,,
2018072507198,"Kavanagh, Pamela.",Hovslag i det fjerne,2015,,nob,2015,,,
2018072507199,"Refsdal, Liv Hege",Boletta og himmelske mormor,2015,,nob,2015,,,
2018072507201,"Riordan, Rick",Slangens skygge,2015,,nob,2015,,,
2018072507204,"Shepard, Sara",Knust,2015,,nob,2015,,,
2018072507211,"Knudsen, Sverre",Aarons maskin :,2015,,nob,2015,roman,,
2018072507216,"Kapelrud, Kristian",Det siste slaget,2015,,nob,2015,,,
2018072507217,"Kapelrud, Kristian",I begynnelsen var tegnet,cop. 2015,,nob,2015,,,
2018072507218,"Scieszka, Jon",Frank Einstein og antimateriemotoren,2015,"barnebøker, fiction, roboter, science, vitenskap",nob,2015,,,
2018072507250,"Ingvaldsen, Bjørn",Nissekrigen,2015,,nob,2015,,,
2018072507251,"Johansen, Eldrid",Scenegrøss,2015,"barnebøker, barnelitteratur, korsang, lettlest, mot, norsk, sceneskrekk",nob,2015,,,
2018072507252,"Gehm, Franziska.",Advarsel! Bror biter!,2015,,nob,2015,,,
2018072507253,"Horst, Jørn Lier",Esmeraldagåten,2015,"litteratur, norsk, spenningsroman, ungdom",nob,2015,,,
2018072507254,"Haga, Anniken",Aerith,2015,,nob,2015,,,
2018072607022,"Simmons, Anthea.",Verdens beste baby!,cop. 2015,søsken,nob,2015,,,
2018072607033,"Manning, Mick",Bli med ut!,cop. 2015,,nob,2015,,,
2018072607072,"Haugan, Jens","No kan du sove, vesle gut /",2015,,nno,2015,,,
2018072607073,"Marsoli, Lisa Ann",Biler,2015,,nob,2015,,,
2018072607078,"Wiborg, Liv H.",Alva og losen,cop. 2015,,nob,2015,,,
2018072607079,"Øien, Jan-Kåre",Havets skrekk,2015,"barnelitteratur, billedbøker, harer, norsk, piggsvin, sjørøveri",nob,2015,,,
2018072607080,"Barnett, Mac",Mats &amp; Emil graver et hull,2015,"barnebøker, barnelitteratur, bildebøker, biletbøker, billedbøker, humor, norsk, skjønnlitteratur",nob,2015,,,
2018072607081,"Sætre, Inga",Fyrvokterne,2015,,nob,2015,,,
2018072607086,"Sandberg, Sigri",Vindtrollet,cop. 2015,"barnelitteratur, bildebøker, billedbøker, norsk, vind",nob,2015,,,
2018072607088,"Arredondo, Francisco.",All verdens dyr,[2015],,nob,2015,,,
2018072607099,"Anderson, Lena",Majas lille grønne,2015,,nob,2015,,,
2018072607101,"Vogel, Maria von.",Tannfeens hemmelighet,[2015],,nob,2015,,,
2018072607110,"Pastis, Stephan",Det ble begått feil,2015,"barnebøker, detektivfortellinger, grafiske, humor",nob,2015,,,
2018072607119,"Hargreaves, Roger",Lille Frøken Prinsesse,2015,,nob,2015,,,
2018072607120,"Hargreaves, Roger",Lille Frøken Solskinn,2015,,nob,2015,,,
2018072607121,"Hargreaves, Roger",Herr Surpomp,2015,,nob,2015,,,
2018072607141,"Strandberg, Mats",Nøkkelen,2015,,nob,2015,,,
2018072607143,"Rodkey, Geoff",Tapper-tvillingene går til krig (mot hverandre),2015,,nob,2015,,,
2018072607165,"Hargreaves, Roger",Lille Frøken Solskinn,2015,,nob,2015,,,
2018072607167,"Griffiths, Andy",Gutta i trehuset med 65 etasjer som viser seg å ikke være godkjent av bygningsetaten (og som derfor må rives)!,cop. 2015,,nob,2015,,,
2018072607178,"Gesén, Pernilla",Rett i krysset,2015,,nob,2015,,,
2018072607189,"Hale, Shannon",Flammer og is /,2015,,nob,2015,,,
2018072607193,"Grimm, Sandra",Nysbert von Eikeblad fra trehytta,[2015],,nob,2015,,,
2018072607198,"Grey, Jacob.",Kråkene,2015,"fantasy, romaner, ungdomsbøker",nob,2015,,,
2018072607220,"Hunter, Erin.",Mørkets time,cop. 2015,,nob,2015,,,
2018072607233,"Green, John","Will Grayson, Will Grayson",2015,"skjønnlitteratur, ungdomsbøker",nob,2015,,,
2018072607234,"Green, Sally",Ondskapens sønn,2015,,nob,2015,,,
2018072607262,"Vestly, Anne-Cath.",Marte og mormor og mormor og Morten,2015,,nob,2015,,,
2018072607264,"Dahl, Roald",Matilda,2015,,nob,2015,,,
2018072607271,"Scott, Katie",Animalium plakatbok,cop. 2015,,nob,2015,,,
2018072607287,"Hunter, Erin",Daggry,cop. 2015,,nob,2015,,,
2018072607298,"Hovig, Andrea Bræin",Vanessa Svartmo,2015,,nob,2015,,,
2018072607302,"Sauvik, Øyvind",Hitachoo møter Johnny Virker :,cop. 2015,,nob,2015,gærninger i grøfta : (eller hvordan tre skikkelig forskjellige fyrer ender opp med å bli bestevenner),,
2018072607308,"Kolstad, Henning",Universet :,cop. 2015,,nob,2015,junior,,
2018072607310,"Nyhus, Kaia Dahle",Pappaer overalt,2015,"barnelitteratur, bildebøker, billedbøker, fedre, norsk, savn",nob,2015,,,
2018072607311,"Aamundsen, Martin Berdahl",Nora og den lille blå kaninen,cop. 2015,,nob,2015,,,
2018072607312,"Emmett, Jonathan",Prinsessen og grisen,2015,,nob,2015,,,
2018072607319,"Itäranta, Emmi",Kildens vokter,cop. 2015,,nob,2015,,,
2018072607320,"Gier, Kerstin",Silber :,2015,"drømmer, fantasy, romaner, spenning, ungdomsbøker",nob,2015,drømmenes første bok : roman,,
2018072607323,"Igland, Torborg",Øya,2015,"dystopier, fiction, framtidssamfunn, norden, opprør, science, undertrykkelse, ungdomsbøker",nob,2015,,,
2018072748032,"Kinney, Jeff","Ut på tur, aldri sur",2015,,nob,2015,,,
2018073048215,"Vestby, Hanne Christine",Frøken Dobbel &amp; Herr Halvparten,2015,,nob,2015,,,
2018073148001,"Torgersen, Trond-Viggo",Rumaš,cop. 2015,,sme,2015,,,
2018073148072,"Einarsen, Heidi Guttorm",,cop. 2015,"geografi, grunnskolen, lærebøker, samfunnsfag, samfunnskunnskap",sme,2015,,,
2018081307029,"Celius, Anne-Bjørg",Nå skal jeg fortelle deg-,2015,,nob,2015,,,
2018081307037,"Marienborg, Irene",Gratulerer! sier Nora,2015,"billedbøker, fødselsdager",nob,2015,,,
2018081307043,"Finderup, Mette",Emmy :,2015,,nob,2015,ingen vei tilbake,,
2018081307044,"Samdal, Peder",Mario Balotelli forklarer Europa,cop. 2015,,nob,2015,,,
2018081307045,"Bødker, Benni",Til Pandemonium,2015,,nob,2015,,,
2018081407031,"Sigurbergsson, Eytor",Sildre på vannvittige eventyr,2015,,nob,2015,,,
2018081407037,"Seidemann, Maria",Erik og den lille havfruen,2015,,nob,2015,,,
2018081407067,"Johansen, Erik",Prins Godhjerta og froskeballetten,2015,,nob,2015,,,
2018081407076,"Davies, Benji",Stormhvalen,cop. 2015,"barnebøker, bildebok, billedbøker, billedbøker, ensomhet, fedre, hvaler, sønner",nob,2015,,,
2018081407099,"Sommerset, Mark.",Jeg elsker saft,2015,,nob,2015,,,
2018081407100,"Sommerset, Mark.","Bæ, bæ, lure lam",2015,,nob,2015,,,
2018081407101,"Seim, Cecilie",Madams 11 barn,2015,"bildebøker, billedbøker, myldrebok",nob,2015,,,
2018081407102,"Vars, Elle Márjá",Baháneahkkánis bustávat,2015,,sme,2015,,,
2018081407103,"Hopgood, Tim.",What a wonderful world :,cop. 2015,,nno,2015,for ei strålande verd,,
2018081407121,"Edwards, Ellen M. Tudor",Explore,2015,"barnetrinnet, engelsk, grunnskolen, k06, lærebøker",mul,2015,engelsk for barnesteget,,
2018081407123,"Alseth, Bjørnar",Multi [5-7],2015,"grunnskolen, k06, kunnskapsløftet, lærebøker, læreverk, matematikk",nno,2015,,,
2018081407146,"Waage, Bjørn Øystein",Rabbagasten,[2015],,nno,2015,,,
2018081407150,"Edwards, Ellen M. Tudor",Explore,2015,"barnetrinnet, engelsk, grunnskolen, k06, lærebøker",mul,2015,engelsk for barnesteget,,
2018081407155,"Dahl, Roald",,2015,,nob,2015,,,
2018081407158,"Grande, Martine",Dagen opp ned,2015,"bildebøker, billedbøker, flaggermus",nno,2015,,,
2018081407160,"Scarry, Richard",Folk i farta!,2015,"billedbøker, myldrebøker",nob,2015,,,
2018081407167,"Ødegaarden, Martin.",#Duppedingser,2015,,nob,2015,,,
2018081407168,"Allcroft, Britt",På ferie med Thomas,2015,,nob,2015,,,
2018081407169,"Nærum, Knut",Glemmestedet,2015,"bibliotek, bildebøker, billedbøker, glemsel, hittegods",nob,2015,,,
2018081407170,"Lessem, Don",,cop. 2015,"barnebøker, dinosaurer",nob,2015,,,
2018081407171,"Shields, Amy.",Min første store bok om hvorfor?,2015,barnebøker,nob,2015,,,
2018081607054,"Russell, Rachel Renée.",Nedtegnelser om å leve lykkelig alle sine dager - NOT!,cop. 2015,,nob,2015,,,
2018081607055,"Nadin, Joanna.",Krise-Kristine tar kaka,2015,"barnelitteratur, engelsk",nob,2015,,,
2018081607070,"Andersen, Tor",Vikinger i Vinngullmark,[2015],,nob,2015,,,
2018081607078,"Ragde, Anne B.","Gutten som ropte ulv, ulv",cop. 2015,"barnebøker, billedbøker, fabler, lettlest, løgn",nob,2015,,,
2018081607079,"Ragde, Anne B.",,cop. 2015,lettlest,nob,2015,,,
2018081607080,"Ragde, Anne B.",Sola og nordavinden,cop. 2015,"barnebøker, billedbøker, fabler",nob,2015,,,
2018082007012,"Wollebæk, Gro",Spire,2015,"grunnskole, lærebøker, naturfag, småskoletrinnet",nno,2015,naturfag for småskulesteget,,
2018082007029,"Sørli, Jorid",,2015,,nno,2015,,,
2018082007036,"Neale, Kirsty.",Alt om kroppen,2015,,nob,2015,,,
2018082007037,"Neale, Kirsty.",Flagg fra hele verden,2015,,nob,2015,,,
2018082207001,"Emmett, Jonathan",Prinsessa jïh snurke,2015,"barnebøker, bildebøker, billedbøker, prinsesser, sørsamisk",sma,2015,,,
2018082207002,"Brook, Felicity.",Min første bok om mat,2015,,nob,2015,,,
2018082207011,"Williams, Brian.",Mitt første atlas,2015,,nob,2015,,,
2018082207041,"Bringsværd, Tor Åge",Reiselyst,2015,"grunnskole, grunnskolen, lærebøker, læreverk, norsk, språk",nob,2015,,,
2018082207042,"Borge, Synnøve",Rogn,2015,"grunnskole, grunnskolen, lærebøker, læreverk, norsk, språk",nob,2015,,,
2018082207043,"Kjetun, Mari",Sara Sol,2015,"grunnskole, grunnskolen, lærebøker, læreverk, norsk, språk",nob,2015,,,
2018082207044,"Ingvaldsen, Bjørn",Leo og ballen,2015,"grunnskole, grunnskolen, lærebøker, læreverk, norsk, språk",nob,2015,,,
2018082207045,"Klepp, Anneli",Erlend Epleskrott,2015,"grunnskole, grunnskolen, lærebøker, læreverk, norsk, språk",nob,2015,,,
2018082207046,"Klepp, Anneli",Erlend  Epleskrott,2015,"grunnskole, lærebøker, norsk",nno,2015,,,
2018082207047,"Bruheim, Magnhild",Årets farlegaste natt,2015,"grunnskole, lærebøker, norsk",nno,2015,,,
2018082207048,"Sønneland, Håkon Forfod",,2015,"grunnskole, grunnskolen, lærebøker, læreverk, norsk, språk",nob,2015,,,
2018082207049,"Tjønn, Brynjulf Jung",Brevet,2015,"grunnskole, grunnskolen, lærebøker, læreverk, norsk, språk",nob,2015,,,
2018082207053,"Borge, Synnøve",Bubo bubo,2015,"grunnskole, lærebøker, norsk",nno,2015,,,
2018082207055,"Lunde, Maja",Sceneskrekk,cop. 2015,"Norsk barnelitteratur, barnebøker, skjønnlitteratur",nob,2015,,,
2018082207086,"Borge, Synnøve",Rogn,2015,"grunnskole, lærebøker, norsk",nno,2015,,,
2018082207090,"Tjønn, Brynjulf Jung",Brevet,2015,"grunnskole, lærebøker, norsk",nno,2015,,,
2018082307078,"Hurum, Jørn H.",Havets kjempeøgler,2015,"grunnskole, grunnskolen, lærebøker, læreverk, norsk, språk",nob,2015,,,
2018082748001,"Eide, Lise Helset",Sivert kan,cop. 2015,,nob,2015,,,
2018083107101,"Diskin, Elizabeth",Enter 8,2015,"engelsk, grunnskolen, k13, lærebøker, ungdomstrinnet",mul,2015,engelsk for ungdomssteget,,
2018083107104,"Bringsværd, Tor Åge",Løveungen og Frøken Kanin :,2015,,nob,2015,på eventyr i Afrika,,
2018090407003,"Sørensen, Heidi Maria",Siri sommerfugl og bøllebillene :,[2015?],,nob,2015,en spennende fortelling om livet i blomsterenga -,,
2018090407030,"Bratlund, Bente","Fly, Thea! Fly!",2015,"barnebøker, fosterbarn, maling",nno,2015,,,
2018090407141,"Løken, Alexander",Ormeegget,2015,"barnelitteratur, norsk, spenning, spenningsbøker",nob,2015,,,
2018090507015,"Rybak, Alexander",Trolle og den magiske fela,2015,,nob,2015,,,
2018090507127,"Hydén, Görel",Les! Stopp! Tenk!,2015,"barnetrinnet, grunnskole, lesing, lærebøker",nno,2015,leseforståing for barnetrinnet,,
2018090507131,"Mæsel, Inger Johanne",Kristiansands historie fortalt for barn og unge,cop. 2015,"byhistorie, kristiansand, vest-agder",nob,2015,,,
2018090507138,"Solberg, Cecilie",Stairs,2015,"engelsk, grunnskole, lærebøker, læreverk",mul,2015,,,
2018090607026,"Hjorth, Michael",,2015,,nob,2015,,,
2018090607043,"Larsson, Tobbe",,2015,,nob,2015,,,
2018090607045,"Pichon, Liz",Min geniale verden,2015,"barnelitteratur, britisk, dagbokroman",nob,2015,,,
2018090607077,"Rasch-Halvorsen, Anne",Tusen millioner,2015,"grunnskolen, kunnskapsløftetk13, lærebøker, læreplan, læreverk, matematikk, revidert",nob,2015,,,
2018090607085,"Bjorvand, Agnes-Margrethe",Astrid Lindgren,2015,"Sverige, barn, barnelitteratur, biografier, litteratur, svensk",nob,2015,,,
2018090607108,"Sønneland, Håkon Forfod",Skumle småkryp,2015,"grunnskole, grunnskolen, lærebøker, læreverk, norsk, språk",nob,2015,,,
2018090707062,"Edwards, Ellen M. Tudor",Explore,2015,"barnetrinnet, engelsk, k13, lærebøker",mul,2015,engelsk for barnetrinnet,,
2018090707067,"Bjerke, Kari Kolbjørnsen",Salto 3 :,2015,"grunnskole, lærebøker, norsk",nno,2015,,,
2018091107080,"Sewell, Anna",Silkesvarten :,2015,,nob,2015,roman,,
2018091205018,"Shirvington, Jessica.",Forbudt,2015,,nob,2015,,,
2018091205038,"Tornes, Tonje",Hulder,2015,"barnebøker, fantastisk, fantasy, hulder, huldrer, litteratur, norsk, overnaturlig, ungdomsbøker",nob,2015,,,
2018091205064,"Grimstad, Lars Joachim",Solkongen,2015,,nob,2015,,,
2018091207002,"Sannes, Anne Mette",Terra nova,2015,"fantasy, fiction, science",nob,2015,,,
2018091207011,"Arnold, David",Mygglandet,2015,"amerikansk, oppvekstromaner, skjønnlitteratur",nob,2015,,,
2018091207018,"Stiefvater, Maggie",Jaget,cop. 2015,,nob,2015,,,
2018091207024,"Green, Sally.",Opprøret,2015,,nob,2015,,,
2018091207051,"Pedersen, Finn Hjalmar",Tidsmaskinen,cop. 2015,,nob,2015,,,
2018091407042,"Svingen, Arne",Hubert blir ikke forelsket,2015,"barnebøker, forelskelse, humor",nob,2015,,,
2018091407049,"Nelson, Jandy",Jeg gir deg sola,2015,"romaner, ungdomsbøker",nob,2015,,,
2018091407051,"Blyton, Enid",Da Timmy jagde katten,2015,,nob,2015,,,
2018091407057,"Shepard, Sara",Brent,2015,,nob,2015,,,
2018091705027,"Grøntvedt, Nina Elisabeth",Absolutt ukyssa :,2015,,nob,2015,NB: Dette er IKKE en klissete kjærlighetshistorie!!!,,
2018091705079,"Hydén, Görel",Les! Stopp! Tenk!,2015,"barnetrinnet, grunnskole, lesing, lærebøker",nob,2015,leseforståelse for barnetrinnet,,
2018091707005,"Stavrum, Arild",Maradonas moral,2015,,nob,2015,,,
2018091805035,"Solberg, Cecilie",Stairs,2015,"engelsk, grunnskole, lærebøker, læreverk",mul,2015,,,
2018091907032,"Skow, Lillian Wirak",Martin og Maja i verdens beste hage,[2015],,nob,2015,,,
2018091907039,"Schindler, Nina.",Alvefortellinger :,2015,,nob,2015,med spørsmål for bedre leseforståelse,,
2018091907040,"Flatland, Helga",Eline får besøk,2015,"barnebøker, dataspill, ipad, lettlest, vennskap",nob,2015,,,
2018091907057,"Simon, Francesca",Rampete Robin skaper spetakkel,cop. 2015,,nob,2015,,,
2018091907063,"Borge, Synnøve",Kongeøyenstikker,2015,"insekter, øyenstikkere",nob,2015,,,
2018091907093,"Belsvik, Rune",Kjendisen,2015,"barnebøker, barnelitteratur, humor, lettlesbøker, lettlest, norsk, spenning",nno,2015,,,
2018092507014,"Nordström, Tina",Tinas oppskrifter for unge kokker :,2015,"barnebøker, kokebøker, matlaging",nob,2015,vi fikser maten!,,
2018092507030,"Pilkey, Dav",Kaptein Supertruse og utedassfolkets ufyselige ugjerninger,2015,"amerikansk, barnebøker, barnelitteratur, grafiske romaner, humor, roman",nob,2015,,,
2018092507061,"Anly, Ingeborg",Kaleido,2015,"barnetrinnet, grunnskolen, k13, lærebøker, læreverk, norsk",nob,2015,,,
2018092507081,"Hjardar, Espen",Faktor 10,2015,"grunnskolen, grunnskoleutdanningen, kunnskapsløftet, lærebøker, matematikk",nno,2015,,,
2018092707049,"Sheppard, Sarah",Viktige kart :,[2015],"atlas, barnebøker, faktabøker, geografi, kart",nob,2015,over vår eventyrlige jord : med massevis av spennende fakta,,
2018092707054,"Sørli, Jorid",,2015,"andrespråk, grunnskole, lærebøker, norsk, språk",nob,2015,,,
2018092807029,"Bøyum, Johannes",Avisheftet mitt :,2015,,nob,2015,avis - et massemedium,,
